ku_id,ku_name,ka,core_tire1_hour,core_tire2_hour,includes_electives,topic_core_tire1,topic_core_tire2,outcome1,outcome2,KU_keyword_cat,KU_keyword,E,F
ku01,Basic Analysis,AL,2,2,N,Differences among best; expected; and worst case behaviors of an algorithm. Asymptotic analysis of upper and expected complexity bounds.  Big O notation  formal definition.  Complexity classes; such as constant; logarithmic; linear; quadratic; and exponential. Empirical measurements of performance. Time and space trade-offs in algorithms,Big O notation.  Little o; big omega and big theta notation. Recurrence relations. Analysis of iterative and recursive algorithms. Some version of a Master Theorem,"Explain what is meant by ""best""; ""expected""; and ""worst"" case behavior of an algorithm. In the context of specific algorithms; identify the characteristics of data and or other conditions or assumptions that lead to different behaviors.  Determine informally the time and space complexity of simple algorithms.  State the formal definition of big O.    List and contrast standard complexity classes.  Perform empirical studies to validate hypotheses about runtime stemming from mathematical analysis. Run algorithms on input of various sizes and compare performance.  Give examples that illustrate time-space trade-offs of algorithms.  ",Use big O notation formally to give asymptotic upper bounds on time and space complexity of algorithms.  Use big O notation formally to give expected case bounds on time complexity of algorithms. Explain the use of big omega; big theta; and little o notation to describe the amount of work done by an algorithm. Use recurrence relations to determine the time complexity of recursively defined algorithms.  Solve elementary recurrence relations; e.g.; using some form of a Master Theorem.  ,"Big_O_notation;Best,_worst_and_average_case;Computational_complexity_theory","Big_O_notation;Best,_worst_and_average_case;Computational_complexity_theory;O_Little_Town_of_Bethlehem;Big_Omega_function;Complexity_class;Master_theorem;Recurrence_relation",,
ku02,Algorithmic Strategies,AL,5,1,N,Brute-force search algorithms.  Greedy algorithms. Divide-and-conquer (cross-reference SDF Algorithms and Design Problem-solving strategies). Recursive backtracking. Dynamic Programming,Branch-and-bound. Heuristics. Reduction. transform-and-conquer,For each of the strategies (brute-force; greedy; divide-and-conquer; recursive backtracking; and dynamic programming); identify a practical example to which it would apply.  Use a greedy approach to solve an appropriate problem and determine if the greedy rule chosen leads to an optimal solution.   Use a divide-and-conquer algorithm to solve an appropriate problem.  Use recursive backtracking to solve a problem such as navigating a maze.  Use dynamic programming to solve an appropriate problem.  Determine an appropriate algorithmic approach to a problem.  ,Describe various heuristic problem-solving methods. Use a heuristic approach to solve an appropriate problem. Describe the trade-offs between brute force and heuristic strategies.  Describe how a branch-and-bound approach may be used to improve the performance of a heuristic method.  ,Brute-force_search;Greedy_algorithm;Backtracking,Problem_solving;The_Three_Stooges_in_popular_culture;Greedy_algorithm;Brute_force,,
ku03,Fundamental Data Structures and Algorithms,AL,9,3,N,Simple numerical algorithms; such as computing the average of a list of numbers; finding the min; max; and mode in a list; approximating the square root of a number; or finding the greatest common divisor.Sequential and binary search algorithms.  Worst case quadratic sorting algorithms (selection; insertion).   Worst or average case O(N log N) sorting algorithms (quicksort; heapsort; mergesort).  Hash tables; including strategies for avoiding and resolving collisions. Binary search trees.   Common operations on binary search trees such as select min; max; insert; delete; iterate over tree. Graphs and graph algorithms. Representations of graphs (e.g.; adjacency list; adjacency matrix).Depth- and breadth-first traversals,Heaps. Graphs and graph algorithms.  Shortest-path algorithms. (Dijkstra's and Floyd's algorithms). Minimum spanning tree (Prim's and Kruskal's algorithms).  Pattern matching and string text algorithms (e.g.; substring matching; regular expression matching; longest common subsequence algorithms),Implement basic numerical algorithms.  Implement simple search algorithms and explain the differences in their time complexities.  Be able to implement common quadratic and O(N log N) sorting algorithms.   Describe the implementation of hash tables; including collision avoidance and resolution.  Discuss the runtime and memory efficiency of principal algorithms for sorting; searching; and hashing.   Discuss factors other than computational efficiency that influence the choice of algorithms; such as programming time; maintainability; and the use of application-specific patterns in the input data.   Explain how tree balance affects the efficiency of various binary search tree operations.   Solve problems using fundamental graph algorithms; including depth-first and breadth-first search. Demonstrate the ability to evaluate algorithms; to select from a range of possible options; to provide justification for that selection; and to implement the algorithm in a particular context.  ,Describe the heap property and the use of heaps as an implementation of priority queues. Solve problems using graph algorithms; including single-source and all-pairs shortest paths; and at least one minimum spanning tree algorithm.  Trace and or implement a string-matching algorithm.  ,"Best,_worst_and_average_case;Longest_common_subsequence_problem;Binary_search_tree","Best,_worst_and_average_case;Longest_common_subsequence_problem;Greatest_common_divisor",,
ku04,Basic Automata; Computability and Complexity,AL,3,3,N,Finite-state machines. Regular expressions. The halting problem,Context-free grammars (cross-reference PL Syntax Analysis). Introduction to the P and NP classes and the P vs. NP problem.Introduction to the NP-complete class and exemplary NP-complete problems (e.g.; SAT; Knapsack),Discuss the concept of finite state machines.   Design a deterministic finite state machine to accept a specified language. Generate a regular expression to represent a specified language.  Explain why the halting problem has no algorithmic solution.  ,Design a context-free grammar to represent a specified language. Define the classes P and NP.  Explain the significance of NP-completeness.  ,NP-completeness;Finite-state_machine;Regular_expression,List_of_tools_for_static_code_analysis;Mar_Roxas;NP-completeness;P_versus_NP_problem,,
ku05,Advanced Computational Complexity,AL,0,0,Y,Review of the classes P and NP. introduce P-space and EXP. Polynomial hierarchy.  NP-completeness (Cook's theorem). Classic NP-complete problems.Reduction Techniques,,Define the classes P and NP. (Also appears in AL Basic Automata; Computability; and Complexity).   Define the P-space class and its relation to the EXP class.   Explain the significance of NP-completeness. (Also appears in AL Basic Automata; Computability; and Complexity).   Provide examples of classic NP-complete problems.  Prove that a problem is NP-complete by reducing a classic known NP-complete problem to it.  ,,NP-completeness;Polynomial_hierarchy,NP-completeness;Dimensionality_reduction;Polynomial_hierarchy,,
ku06,Advanced Automata Theory and Computability,AL,0,0,Y,Sets and languages. Regular languages. Review of deterministic finite automata (DFAs). Nondeterministic finite automata (NFAs)   Equivalence of DFAs and NFAs.   Review of regular expressions  their equivalence to finite automata.  Closure properties. Proving languages non-regular; via the pumping lemma or alternative means.  Context-free languages. Push-down automata (PDAs).  Relationship of PDAs and context-free grammars.   Properties of context-free languages.  Turing machines; or an equivalent formal model of universal computation.Nondeterministic Turing machines. Chomsky hierarchy.  The Church-Turing thesis. Computability.  Rice's Theorem. Examples of uncomputable functions.  Implications of uncomputability,,Determine a language's place in the Chomsky hierarchy (regular; context-free; recursively enumerable).   Convert among equivalently powerful notations for a language; including among DFAs; NFAs; and regular expressions; and between PDAs and CFGs.  Explain the Church-Turing thesis and its significance.  Explain Rice's Theorem and its significance.  Provide examples of uncomputable functions.  Prove that a problem is uncomputable by reducing a classic known uncomputable problem to it.  ,,Generalized_nondeterministic_finite_automaton;Deterministic_finite_automaton;Turing_machine,Model_complete_theory;Non-deterministic_Turing_machine;Generalized_nondeterministic_finite_automaton;Deterministic_finite_automaton;Turing_machine;Quantum_finite_automata;Church?“Turing_thesis;Context-free_grammar;Pumping_lemma;Hypercomputation;Universal;Chomsky_hierarchy,,
ku07,Advanced Data Structures; Algorithms; and Analysis,AL,0,0,Y,"Balanced trees (e.g.; AVL trees; red-black trees; splay trees; treaps)
.Graphs (e.g.; topological sort; finding strongly connected components; matching). Advanced data structures (e.g.; B-trees; Fibonacci heaps)
. String-based data structures and algorithms (e.g.; suffix arrays; suffix trees; tries). Network flows (e.g.; max flow [Ford-Fulkerson algorithm]; max flow ? min cut; maximum bipartite matching). Linear Programming (e.g.; duality; simplex method; interior point algorithms). Number-theoretic algorithms (e.g.; modular arithmetic; primality testing; integer factorization). Geometric algorithms (e.g.; points; line segments; polygons. [properties; intersections]; finding convex hull;
spatial decomposition; collision detection; geometric search/proximity)
. Randomized algorithms. Stochastic algorithms. Approximation algorithms. Amortized analysis. Probabilistic analysis. Online algorithms and competitive analysis",,Understand the mapping of real-world problems to algorithmic solutions (e.g.; as graph problems; linear programs; etc.).. Select and apply advanced algorithmic techniques (e.g.; randomization; approximation) to solve real problems.  Select and apply advanced analysis techniques (e.g.; amortized; probabilistic; etc.) to algorithms. ,,Ford-Fulkerson_algorithm;Data_structure;Matching_(graph_theory),Strongly_connected_component;Ford?“Fulkerson_algorithm;Convex_hull;Data_structure;Proximity_problems;Matching_(graph_theory);Interior_point_method;Max-flow_min-cut_theorem;Geometric_modeling;Computational_number_theory;Primality_test;Modular_arithmetic;Integer_factorization;Line_segment;Scalar-vector-tensor_decomposition,,
ku08,Digital Logic and Digital Systems,AR,0,3,N,Overview and history of computer architecture. Combinational vs. sequential logic Field programmable gate arrays as a fundamental combinational + sequential logic building block. Multiple representations layers of interpretation (hardware is just another layer). Computer-aided design tools that process hardware and architectural representations. Register transfer notation Hardware Description Language (Verilog VHDL).  Physical constraints (gate delays fan-in fan-out  energy power), -,"Describe the progression of computer technology components from vacuum tubes to VLSI  from mainframe computer architectures to the organization of warehouse-scale computers. Comprehend the trend of modern computer architectures towards multi-core and that parallelism is inherent in all hardware systems. Explain the implications of the ""power wall"" in terms of further processor performance improvements and the drive towards harnessing parallelism. Articulate that there are many equivalent representations of computer functionality  including logical expressions and gates  and be able to use mathematical expressions to describe the functions of simple combinational and sequential circuits.  Design the basic building blocks of a computer  arithmetic-logic unit (gate-level)  registers (gate-level)  central processing unit (register transfer-level)  memory (register transfer-level). Use CAD tools for capture  synthesis  and simulation to evaluate simple building blocks (e.g.  arithmeticlogic unit  registers  movement between registers) of a simple computer design. Evaluate the functional and timing diagram behavior of a simple processor implemented at the logic circuit level.", -,Hardware_description_language;Sequential_logic;Propagation_delay,Hardware_description_language;Programmable_logic_device;Sequential_logic;Propagation_delay;Computer-aided_design;Layered_hidden_Markov_model;Hardware_acceleration,,
ku09,Machine Level Representation of Data,AR,0,3,N,Bits; bytes;  and words. Numeric data representation and number bases.Fixed- and floating-point systems  Signed and twos-complement representations. Representation of non-numeric data (character codes ; graphical data). Representation of records and arrays, -,Explain why everything is data  including instructions  in computers. Explain the reasons for using alternative formats to represent numerical data. Describe how negative integers are stored in sign-magnitude and twos-complement representations. Explain how fixed-length number representations affect accuracy and precision. Describe the internal representation of non-numeric data  such as characters  strings  records  and arrays. Convert numerical data from one format to another.  Write simple programs at the assembly machine level for string processing and manipulation., -,Floating_point;Data_type;Character_encoding,Floating_point;Data_type;Canadians;Abstract_graphical_data_type;Character_encoding,,
ku10,Assembly Level Machine Organization ,AR,0,6,N,Basic organization of the von Neumann machine.  Control unit.instruction fetch;  decode;  and execution. Instruction sets and types (data manipulation  control  I O).  Assembly /machine language programming.  Instruction formats.Addressing modes.Subroutine call and return mechanisms (cross-reference PL Language Translation and Execution). I O and interrupts  Heap vs. Static vs. Stack vs. Code segments. Shared memory multiprocessors multicore organization.   Introduction to SIMD vs. MIMD and the Flynn Taxonomy,  ,Explain the organization of the classical von Neumann machine and its major functional units.  Describe how an instruction is executed in a classical von Neumann machine  with extensions for threads  multiprocessor synchronization  and SIMD execution. Describe instruction level parallelism and hazards  and how they are managed in typical processor pipelines.  Summarize how instructions are represented at both the machine level and in the context of a symbolic assembler. Demonstrate how to map between high-level language patterns into assembly machine language notations. Explain different instruction formats  such as addresses per instruction and variable length vs. fixed length formats. Explain how subroutine calls are handled at the assembly level.  Explain the basic concepts of interrupts and I O operations. Write simple assembly language program segments. Show how fundamental high-level programming constructs are implemented at the machine-language level., -,Distributed_shared_memory;Assembly_language;Control_unit,Distributed_shared_memory;Compiled_language;Assembly_language;Von_Neumann_machine;Data_manipulation_language;Basic_Enlisted_Submarine_School;Control_unit;Quick_return_mechanism;Subroutine,,
